Error_Source,SH0ES_Estimate_km_s_Mpc,Our_Assessment_km_s_Mpc,Confidence_Level,Notes,References
Parallax_Zero_Point,0.3,0.3,High,"Scenario A (baseline): adopt SH0ES internal fit with residual uncertainty; Scenario B: 1.0 with external Gaia prior","Riess+ 2022; Peer Review M1"
Period_Distribution,0.0,1.0,High,"Explicit bracket [-1.5, -3.5] km/s/Mpc; mid-range correction -2.5; uncertainty ±1.0","Peer Review M1; calculate_period_distribution_correction.py"
Metallicity_Correction,0.4,0.5,High,"Prior 1 (2025 consensus): γ=-0.2±0.1; uncertainty 0.5; Prior 2: 0.7; Prior 3: 0.5","Peer Review M1; 2025 literature consensus"
Crowding_Direct,0.5,0.3,High,"SH0ES JWST validation shows no systematic bias (-0.01±0.03 mag)","Riess+ 2024 JWST"
Crowding_Covariant,0.0,0.0,Removed,"Removed as standalone term per peer review; retained only through correlation structure","Peer Review M1; JWST constraints"
Photometric_Calibration,0.3,0.3,High,"Well-controlled with HST standards","Riess+ 2022"
Extinction_Reddening,0.4,0.5,Medium,"Some uncertainty in dust law; partially correlated with crowding","Riess+ 2022"
LMC_Distance,0.2,0.2,High,"Geometric distance well-constrained","Pietrzyński+ 2019"
NGC4258_Distance,0.2,0.2,High,"Megamaser distance well-constrained","Humphreys+ 2013"
SNe_Ia_Standardization,0.5,0.5,Medium,"Tripp parameters, host mass step; not focus of this analysis","Riess+ 2022"
Statistical_Uncertainty,0.8,0.8,High,"Dominated by small number statistics in anchors","Riess+ 2022"
